Name,Background,Clothing,Expression,Eyes,Eyewear,Head,Mouth,Neck,Nose,Skin,Type,Price
Visitor54,Pink,Hawaiian,Delusional,Visitor,Monocle,Flak Helmet,Fangs,Frill,Silver Nose Stud,Trippy,Not for sale,
Visitor55,Blue,Plasma Cannon,Surprised,Navy,,Halo,Bubble Gum,,Silver Septum Piercing,Blue,Buy,1 
Visitor56,Purple,Varsity,Surprised,Navy,Holographic,Headphones,,,Silver Septum Piercing,War Paint,Not for sale,
Visitor57,Purple,Mariniere,Confident,Silver,,Bubble,Knife,,,Trippy,Buy,2 
Visitor58,Green,Bulletproof Vest,Tired,White,Aviators,Top Hat,Gagged,Pearl Necklace,,Poison,Buy,0.5 
Visitor59,Blue,Tie Dye,Confident,Visitor,,Bolero,Bubble Gum,Silver Necklace,Silver Lip Ring,Red,Buy,0.222 
Visitor60,Green,Imperial,Confident,Visitor,,Antennae,,,,Green,Buy,0.999 
Visitor61,Pink,Bulletproof Vest,Confident,Navy,,Floppy Hat,ToothPick,,Piggy,Trippy,Buy,0.14 
Visitor62,Purple,Varsity,Surprised,Visitor,Eyepatch,Punk Spikes,,,Silver Lip Ring,Red,Not for sale,
Visitor63,Pink,Red Leather Vest,Surprised,Lime,3D Glasses,Ethereum,Gagged,,,Green,Not for sale,
Visitor64,Green,Black T-shirt,Surprised,Navy,Round Glasses,Beanie,Bubble Gum,Silver Necklace,Silver Lip Ring,Green,Not for sale,
Visitor65,Red,,Tired,Visitor,Round Glasses,Skullcap,Bandit Mask,Silver Necklace,,Cyborg,Not for sale,
Visitor66,Purple,Suit,Tired,Twirl,,,Bubble Gum,,,Tats,Not for sale,
Visitor67,Red,Black Tank Top,Surprised,Navy,Monocle,Beanie,Bubble Gum,Gold Necklace,,Green,Buy,1 
Visitor68,Blue,Bulletproof Vest,Angry,Stoned,,Balaclava,,Neck Pillow,,Green,Not for sale,
Visitor69,Blue,Hoodie With Jacket,Confident,Visitor,Monocle,,Bandit Mask,,,Blue,Not for sale,
Visitor70,Purple,Black T-shirt,Surprised,Navy,3D Glasses,,Gagged,Gold Necklace,,Red,Not for sale,
Visitor71,Red,Black Tank Top,Confident,Navy,Eyepatch,,Respirator,Pearl Necklace,,Gold,Not for sale,
Visitor72,Green,Imperial,Surprised,Navy,,Chef's Hat,Face Mask,,,Blue,Not for sale,
Visitor73,Green,Red T-shirt,Confident,White,,Ethereum,,Pearl Necklace,,Green,Not for sale,
Visitor74,Pink,Black Tank Top,Angry,Lime,Thug Life,Antennae,,Frill,Clown,Cyborg,Not for sale,
Visitor75,Green,Black Tank Top,Surprised,Lime,,Bolero,Knife,Frill,,Trippy,Not for sale,
Visitor76,Purple,Mariniere,Confident,Navy,Aviators,Bucket Hat,Pipe,Silver Necklace,Silver Lip Ring,Green,Not for sale,
Visitor77,Red,Black T-shirt,Confident,Navy,Laser Eyes Yellow,Police Helmet,Bandit Mask,Frill,,Blue,Not for sale,
Visitor78,Green,,Tired,Navy,,Top Hat,Fangs,Bitcoin Necklace,Gold Lip Ring,Poison,Not for sale,
Visitor79,Red,Hawaiian,Surprised,Navy,Thug Life,Barbarian,Bandit Mask,Gold Necklace,,Glowing Tats,Not for sale,
Visitor80,Green,Bulletproof Vest,Tired,Visitor,,Coolie Hat,Bubble Gum,,,Cyborg,Not for sale,
Visitor81,Green,Black T-shirt,Tired,Lime,Monocle,Bucket Hat,ToothPick,Silver Necklace,Silver Nose Stud,Green,Not for sale,
Visitor82,Blue,Black T-shirt,Tired,Lime,Heart Glasses,Backwards Cap,Bubble Gum,Gold Necklace,,Green,Not for sale,
Visitor83,Purple,Black Tank Top,Confident,Navy,Aviators,Halo,Face Mask,,,Green,Not for sale,
